une	4
grandes	3
batalla	3
paso	3
espacio	3
repaso	2
adormiló	2
herramienta	2
aliviar	2
tirantez	2
caldo	2
cultivo	2
tirar	2
hepático	2
escándalos	2
reconoce	2
aguanta	2
embrutecidas	2
respaldo	2
pies	2
fuerza	2
firme	2
arrasamiento	2
gran	2
acompañando	2
vigilancia	2
derrotó	2
crecientes	2
reforzaba	2
triunfo	2
ejercicio	2
enervado	2
caballo	2
salidas	2
alcanzar	2
estabilidad	2
carga	2
expansión	2
destruir	2
encarnación	2
redunden	2
núcleo	2
subdialecto	2
roto	2
lazos	2
salían	2
fuga	2
desdicha	2
ocupada	2
pólvora	2
ardores	2
sentar	2
altura	2
briosa	2
gracia	2
pistas	2
plumas	2
cancerosa	2
repartiendo	2
tobogán	2
cotice	2
alto	2
lucharon	2
terreno	2
cerrazón	2
saldado	2
sostiene	2
fuego	2
seca	2
sofoquina	2
tripas	2
derraman	2
caben	2
acompañen	2
picado	2
llevar	2
dios	2
catástrofe	2
instrumentos	2
paralizado	2
inflexiones	2
aria	2
perder	2
contempla	2
aislado	2
dinámica	2
arma	2
incipiente	2
cerraban	2
respaldado	2
arrimado	2
trampa	2
desbloqueo	2
nivel	2
compleja	2
márgenes	2
fulminante	2
devolver	2
turbada	2
crecimiento	2
furtivo	2
amortajadas	2
comanches	2
puños	2
abarca	2
